run_id,date_jst,route,attempted,outcome,pr,intervention_kinds
ap-20260811-manual,2026-08-11,manual,true,shipped,470,bootstrap
ap-20260812-ccr,2026-08-12,ccr,true,shipped,480,infra
ap-20260813-actions,2026-08-13,actions,false,skipped_gate,,
ap-20260813-ccr,2026-08-13,ccr,true,shipped,488,
ap-20260814-actions,2026-08-14,actions,false,skipped_gate,,
ap-20260814-ccr,2026-08-14,ccr,true,shipped,501,
ap-20260815-actions,2026-08-15,actions,false,skipped_gate,,
ap-20260815-ccr,2026-08-15,ccr,true,shipped,502,
ap-20260816-actions,2026-08-16,actions,false,skipped_gate,,
ap-20260816-none,2026-08-16,none,false,no_run,,infra
ap-20260817-actions,2026-08-17,actions,false,skipped_gate,,
ap-20260817-none,2026-08-17,none,false,no_run,,
ap-20260818-actions,2026-08-18,actions,false,skipped_gate,,
ap-20260818-ccr,2026-08-18,ccr,true,shipped,505,
ap-20260819-actions,2026-08-19,actions,false,skipped_gate,,
ap-20260819-actions-manual,2026-08-19,actions,false,skipped_gate,,
ap-20260819-ccr,2026-08-19,ccr,true,shipped,511,infra
ap-20260820-actions,2026-08-20,actions,true,cancelled,,infra
ap-20260820-owner,2026-08-20,owner-session,true,shipped,514,substitute
ap-20260821-actions,2026-08-21,actions,true,failed,,infra
ap-20260821-ccr0920,2026-08-21,ccr-0920,true,shipped,521,
ap-20260822-actions,2026-08-22,actions,true,no_artifact,,request
ap-20260822-ccr0730,2026-08-22,ccr-0730,true,shipped,524,
ap-20260823-actions,2026-08-23,actions,true,shipped,538,
ap-20260824-actions,2026-08-24,actions,true,failed,,
ap-20260825-actions,2026-08-25,actions,true,failed,,
ap-20260825-actions-force,2026-08-25,actions,true,shipped,568,
ap-20260825-ccrfallback,2026-08-25,ccr-fallback-v2,true,shipped,548,
ap-20260826-actions,2026-08-26,actions,true,shipped,586,
ap-20260827-actions,2026-08-27,actions,false,skipped_gate,,
ap-20260827-ccr0920,2026-08-27,ccr-0920,true,shipped,660,
ap-20260827-owner-session,2026-08-27,owner-session,true,shipped,668,
ap-20260828-actions,2026-08-28,actions,false,skipped_gate,,
ap-20260828-ccr0920,2026-08-28,ccr-0920,true,shipped,696,
ap-20260829-actions,2026-08-29,actions,false,skipped_gate,,
ap-20260829-ccr0920,2026-08-29,ccr-0920,true,no_artifact,,
ap-20260830-actions,2026-08-30,actions,true,failed,,
ap-20260831-actions,2026-08-31,actions,true,failed,,
ap-20260831-ccr0920,2026-08-31,ccr-0920,true,failed,,
ap-20260901-actions,2026-09-01,actions,true,shipped,749,
ap-20260902-actions,2026-09-02,actions,true,shipped,774,
