method,trial,device,os_version,app_version,warm_or_cold,start_definition,end_definition,ready_seconds,actions_count,destination,destination_delay_seconds,success,notes
Obsidian direct entry,1,,,,,,,,,,,,
Obsidian direct entry,2,,,,,,,,,,,,
Obsidian direct entry,3,,,,,,,,,,,,
Obsidian direct entry,4,,,,,,,,,,,,
Obsidian direct entry,5,,,,,,,,,,,,
Obsidian direct entry,6,,,,,,,,,,,,
Obsidian direct entry,7,,,,,,,,,,,,
Obsidian direct entry,8,,,,,,,,,,,,
Obsidian direct entry,9,,,,,,,,,,,,
Obsidian direct entry,10,,,,,,,,,,,,
Apple Shortcuts,1,,,,,,,,,,,,
Apple Shortcuts,2,,,,,,,,,,,,
Apple Shortcuts,3,,,,,,,,,,,,
Apple Shortcuts,4,,,,,,,,,,,,
Apple Shortcuts,5,,,,,,,,,,,,
Apple Shortcuts,6,,,,,,,,,,,,
Apple Shortcuts,7,,,,,,,,,,,,
Apple Shortcuts,8,,,,,,,,,,,,
Apple Shortcuts,9,,,,,,,,,,,,
Apple Shortcuts,10,,,,,,,,,,,,
Simple Memo,1,,,,,,,,,,,,
Simple Memo,2,,,,,,,,,,,,
Simple Memo,3,,,,,,,,,,,,
Simple Memo,4,,,,,,,,,,,,
Simple Memo,5,,,,,,,,,,,,
Simple Memo,6,,,,,,,,,,,,
Simple Memo,7,,,,,,,,,,,,
Simple Memo,8,,,,,,,,,,,,
Simple Memo,9,,,,,,,,,,,,
Simple Memo,10,,,,,,,,,,,,
Email to self,1,,,,,,,,,,,,
Email to self,2,,,,,,,,,,,,
Email to self,3,,,,,,,,,,,,
Email to self,4,,,,,,,,,,,,
Email to self,5,,,,,,,,,,,,
Email to self,6,,,,,,,,,,,,
Email to self,7,,,,,,,,,,,,
Email to self,8,,,,,,,,,,,,
Email to self,9,,,,,,,,,,,,
Email to self,10,,,,,,,,,,,,
Share sheet,1,,,,,,,,,,,,
Share sheet,2,,,,,,,,,,,,
Share sheet,3,,,,,,,,,,,,
Share sheet,4,,,,,,,,,,,,
Share sheet,5,,,,,,,,,,,,
Share sheet,6,,,,,,,,,,,,
Share sheet,7,,,,,,,,,,,,
Share sheet,8,,,,,,,,,,,,
Share sheet,9,,,,,,,,,,,,
Share sheet,10,,,,,,,,,,,,
